Microseconds: 14
------------ DISCOVERED CAN IDS --------------
000006480 -  ID   B0 B1 B2 B3 B4 B5 B6 B7 Upd -
000006481 - 0x000 00 00 00 00 00 00 00 00  *  -
000010083 - 0x903b41a1 00 07 04 00 00 00 00 00  *  -
000010107 - 0x90334482 00 00 00 00 00 00 00 00  *  -
000010108 - 0x90234173 02 00 00 00 00 00 00 00  *  -
000010110 - 0x90334455 00 00 00 00 9c bd 00 00  *  -
000010111 - 0x90134174 00 00 00 00 9c bd 00 00  *  -
000010113 - 0x90334406 02 05 01 39 30 38 34 30  *  -
000010114 - 0x90334439 81 10 c4 09 0d 00 00 00  *  -
000010116 - 0x9033417a 00 7d 00 64 00 64 00 00  *  -
000010117 - 0x90334417 61 ac ed 12 57 8d 01 41  *  -
000010126 - 0x9033448b 00 00 00 00 00 00 00 00  *  -
000010128 - 0x9023417c 02 00 00 00 00 00 00 00  *  -
000010130 - 0x9033445e 00 00 00 00 96 bd 00 00  *  -
000010131 - 0x9013417d 00 00 00 00 96 bd 00 00  *  -
000010137 - 0x9033440f 02 05 01 39 30 38 34 30  *  -
000010138 - 0x90334410 61 ac ed 12 57 8d 01 41  *  -
000010139 - 0x90334432 81 10 c4 09 0d 00 00 00  *  -
000010141 - 0x90334173 00 7d 00 64 00 64 00 00  *  -
000010142 - 0x90334421 00 00 a2 0f 00 00 00 00  *  -
000010147 - 0x90334484 00 00 00 00 00 00 00 00  *  -
000010148 - 0x90234175 02 00 00 00 00 00 00 00  *  -
000010150 - 0x90334457 00 00 00 00 97 bd 00 00  *  -
000010151 - 0x90134176 00 00 00 00 97 bd 00 00  *  -
000010162 - 0x90334408 02 05 01 39 30 38 34 30  *  -
000010163 - 0x9033442a 00 00 a2 0f 00 00 00 00  *  -
000010165 - 0x9033417c 00 7d 00 64 00 64 00 00  *  -
000010167 - 0x9033448d 00 00 00 00 00 00 00 00  *  -
000010168 - 0x9023417e 02 00 00 00 00 00 00 00  *  -
000010170 - 0x90334450 00 00 00 00 94 bd 00 00  *  -
000010171 - 0x90334419 61 ac ed 12 57 8d 01 41  *  -
000010186 - 0x90334401 02 05 01 39 30 38 34 30  *  -
000010188 - 0x90334412 61 ac ed 12 57 8d 01 41  *  -
000010189 - 0x90334434 81 10 c4 09 0d 00 00 00  *  -
000010191 - 0x90334487 00 00 00 00 00 00 00 00  *  -
000010193 - 0x9033445a 00 00 00 00 92 bd 00 00  *  -
000010195 - 0x90334423 00 00 a2 0f 00 00 00 00  *  -
000010208 - 0x9013417d 00 00 00 00 00 00 00 00  *  -
000010210 - 0x9033445e 00 00 00 00 9d bd 00 00  *  -
000010228 - 0x90134176 00 00 00 00 00 00 00 00  *  -
000010229 - 0x90334457 00 00 00 00 98 bd 00 00  *  -
000010238 - 0x9033443b 81 10 c4 09 0d 00 00 00  *  -
000010248 - 0x9013417f 00 00 00 00 00 00 00 00  *  -
000010249 - 0x90334450 00 00 00 00 92 bd 00 00  *  -
000010264 - 0x90334175 00 7d 00 64 00 64 00 00  *  -
000010266 - 0x90334486 00 00 00 00 00 00 00 00  *  -
000010269 - 0x90234177 02 00 00 00 00 00 00 00  *  -
000010271 - 0x90334459 00 00 00 00 92 bd 00 00  *  -
000010272 - 0x90134178 00 00 00 00 92 bd 00 00  *  -
000010283 - 0x903b41aa 00 0e 04 00 92 bd 00 00  *  -
000010294 - 0x903b41ab 00 08 04 00 92 bd 00 00  *  -
000010303 - 0x9033448c 00 00 00 00 00 00 00 00  *  -
000010305 - 0x9023417d 02 00 00 00 00 00 00 00  *  -
000010307 - 0x9033445f 00 00 00 00 94 bd 00 00  *  -
000010309 - 0x90334400 02 05 01 39 30 38 34 30  *  -
000010312 - 0x90334433 81 10 c4 09 0d 00 00 00  *  -
000010313 - 0x90334174 00 7d 00 64 00 64 00 00  *  -
000010315 - 0x9013417e 00 7d 00 64 00 64 00 00  *  -
000010323 - 0x90334485 00 00 00 00 00 00 00 00  *  -
000010325 - 0x90234176 02 00 00 00 00 00 00 00  *  -
000010327 - 0x90334458 00 00 00 00 99 bd 00 00  *  -
000010328 - 0x90134177 00 00 00 00 99 bd 00 00  *  -
000010333 - 0x90334409 02 05 01 39 30 38 34 30  *  -
000010335 - 0x9033442b 00 00 a2 0f 00 00 00 00  *  -
000010337 - 0x9033417d 00 7d 00 64 00 64 00 00  *  -
000010340 - 0x9033441a 61 ac ed 12 57 8d 01 41  *  -
000010343 - 0x9033448e 00 00 00 00 00 00 00 00  *  -
000010346 - 0x9023417f 02 00 00 00 00 00 00 00  *  -
000010347 - 0x90334451 00 00 00 00 92 bd 00 00  *  -
000010349 - 0x90134170 00 00 00 00 92 bd 00 00  *  -
000010358 - 0x90334402 02 05 01 39 30 38 34 30  *  -
000010360 - 0x90334413 61 ac ed 12 57 8d 01 41  *  -
000010362 - 0x90334176 00 7d 00 64 00 64 00 41  *  -
000010365 - 0x90334424 00 00 a2 0f 00 00 00 00  *  -
000010383 - 0x9033440b 02 05 01 39 30 38 34 30  *  -
000010385 - 0x9033441c 61 ac ed 12 57 8d 01 41  *  -
000010386 - 0x9033443e 81 10 c4 09 0d 00 00 00  *  -
000010387 - 0x9033417f 00 7d 00 64 00 64 00 00  *  -
000010389 - 0x90334481 00 00 00 00 00 00 00 00  *  -
000010390 - 0x90234172 02 00 00 00 00 00 00 00  *  -
000010392 - 0x90334454 00 00 00 00 91 bd 00 00  *  -
000010393 - 0x9033442d 00 00 a2 0f 00 00 00 00  *  -
000010404 - 0x90134177 00 00 00 00 00 00 00 00  *  -
000010406 - 0x90334458 00 00 00 00 90 bd 00 00  *  -
000010411 - 0x9033443c 81 10 c4 09 0d 00 00 00  *  -
000010424 - 0x90134170 00 00 00 00 00 00 00 00  *  -
000010435 - 0x90334435 81 10 c4 09 0d 00 00 00  *  -
000010437 - 0x90334176 00 7d 00 64 00 64 00 00  *  -
000010444 - 0x90234178 02 00 00 00 00 00 00 00  *  -
000010445 - 0x9033445a 00 00 00 00 9d bd 00 00  *  -
000010447 - 0x90134179 00 00 00 00 9d bd 00 00  *  -
000010463 - 0x90334480 00 00 00 00 00 00 00 00  *  -
000010465 - 0x90234171 02 00 00 00 00 00 00 00  *  -
000010466 - 0x90334453 00 00 00 00 92 bd 00 00  *  -
000010468 - 0x90134172 00 00 00 00 92 bd 00 00  *  -
000010483 - 0x90334404 02 05 01 39 30 38 34 30  *  -
000010484 - 0x90334415 61 ac ed 12 57 8d 01 41  *  -
000010486 - 0x90334437 81 10 c4 09 0d 00 00 00  *  -
000010487 - 0x903344a9 00 00 37 ff 00 00 a1 01  *  -
000010489 - 0x9023417b 02 00 00 00 00 00 00 00  *  -
000010490 - 0x9033445d 00 00 00 00 92 bd 00 00  *  -
000010492 - 0x90334426 00 00 a2 0f 00 00 00 00  *  -
000010524 - 0x90134179 00 00 00 00 00 00 00 00  *  -
000010525 - 0x9033445a 00 00 00 00 92 bd 00 00  *  -
000010543 - 0x90334420 00 00 a2 0f 00 00 00 00  *  -
000010544 - 0x90334492 b6 07 31 0b 45 00 05 00  *  -
000010546 - 0x90234174 02 00 00 00 00 00 00 00  *  -
000010548 - 0x90334456 00 00 00 00 92 bd 00 00  *  -
000010550 - 0x90334471 00 00 00 00 00 00 00 00  *  -
000010558 - 0x90334407 02 05 01 39 30 38 34 30  *  -
000010559 - 0x90334418 61 ac ed 12 57 8d 01 41  *  -
000010560 - 0x9033417b 00 7d 00 64 00 64 00 41  *  -
000010562 - 0x90334429 00 00 a2 0f 00 00 00 00  *  -
000010564 - 0x9033445f 00 00 00 00 92 bd 00 00  *  -
000010583 - 0x90334411 61 ac ed 12 57 8d 01 41  *  -
000010585 - 0x90334422 00 00 a2 0f 00 00 00 00  *  -
000010586 - 0x903344a5 00 00 d3 fe 00 00 55 00  *  -
000010602 - 0x9033448a 00 00 00 00 00 00 00 00  *  -
000010605 - 0x9013417c 00 00 00 00 92 bd 00 00  *  -
000010608 - 0x9033440e 02 05 01 39 30 38 34 30  *  -
000010610 - 0x90334431 81 10 c4 09 0d 00 00 00  *  -
000010611 - 0x90334172 00 7d 00 64 00 64 00 00  *  -
000010613 - 0x9033441f 61 ac ed 12 57 8d 01 41  *  -
000010623 - 0x90334483 00 00 00 00 00 00 00 00  *  -
000010625 - 0x90134175 00 00 00 00 92 bd 00 00  *  -
000010634 - 0x9033443a 81 10 c4 09 0d 00 00 00  *  -
000010636 - 0x9033417b 00 7d 00 64 00 64 00 00  *  -
000010644 - 0x9013417e 00 00 00 00 00 00 00 00  *  -
000010664 - 0x90334458 00 00 00 00 92 bd 00 00  *  -
000010686 - 0x903344ae 00 00 6f fe 00 00 b9 00  *  -
000010687 - 0x9033448f 00 00 00 00 00 00 00 00  *  -
000010689 - 0x90334452 00 00 00 00 92 bd 00 00  *  -
000010690 - 0x90234170 02 00 00 00 00 00 00 00  *  -
000010704 - 0x90134175 00 00 00 00 00 00 00 00  *  -
000010744 - 0x90334458 00 00 00 00 98 bd 00 00  *  -
000010750 - 0x90334179 01 0a 00 00 98 bd 00 00  *  -
000010757 - 0x9033440a 02 05 01 39 30 38 34 30  *  -
000010759 - 0x9033441b 61 ac ed 12 57 8d 01 41  *  -
000010760 - 0x9033443d 81 10 c4 09 0d 00 00 00  *  -
000010762 - 0x9033417f 01 0a c4 09 0d 00 00 00  *  -
000010763 - 0x90334480 b8 88 00 00 49 33 00 00  *  -
000010765 - 0x90134172 00 88 00 00 49 33 00 00  *  -
000010766 - 0x90334453 95 0e a9 0e 74 bd 00 00  *  -
000010767 - 0x90334174 01 0a a9 0e 74 bd 00 00  *  -
000010769 - 0x9033442c 00 00 a2 0f 00 00 00 00  *  -
000010775 - 0x90334175 01 0a a2 0f 00 00 00 00  *  -
000010782 - 0x90334176 01 0a a2 0f 00 00 00 00  *  -
000010787 - 0x903344ac 00 00 0b fe 00 00 24 00  *  -
000010788 - 0x9023417e 02 70 99 14 00 e5 28 0a  *  -
000010790 - 0x9013417f 00 70 99 14 00 e5 28 0a  *  -
000010792 - 0x90334174 01 0a a2 0f 00 00 00 00  *  -
000010794 - 0x9033448d b8 88 00 00 5f 33 00 00  *  -
000010798 - 0x90334175 01 0a 00 00 5f 33 00 00  *  -
000010802 - 0x90334486 b8 88 00 00 98 33 00 00  *  -
000010804 - 0x90234177 02 70 99 14 00 b1 33 0a  *  -
000010806 - 0x90334459 95 0e a9 0e 7b bd 00 00  *  -
000010810 - 0x9033417f 00 7d 00 64 00 64 00 00  *  -
000010812 - 0x90134178 00 7d 00 64 00 64 00 00  *  -
000010814 - 0x90334170 01 0a 00 64 00 64 00 00  *  -
000010822 - 0x90334481 b8 88 00 00 d4 33 00 00  *  -
000010824 - 0x90234172 02 70 99 14 00 0e 3f 0a  *  -
000010826 - 0x90334175 01 0a 99 14 00 0e 3f 0a  *  -
000010828 - 0x90134173 00 0a 99 14 00 0e 3f 0a  *  -
000010830 - 0x90334176 01 0a 99 14 00 0e 3f 0a  *  -
000010838 - 0x9033417c 01 0a 00 64 00 64 00 00  *  -
000010842 - 0x9033448d b8 88 00 00 13 34 00 00  *  -
000010844 - 0x9023417e 02 70 99 14 00 fd 4a 0a  *  -
000010846 - 0x90334450 95 0e a9 0e 8c bd 00 00  *  -
000010848 - 0x90334171 01 0a a9 0e 8c bd 00 00  *  -
000010850 - 0x9013417f 00 0a a9 0e 8c bd 00 00  *  -
000010854 - 0x90334172 01 0a a9 0e 8c bd 00 00  *  -
000010857 - 0x90334403 02 05 01 39 30 38 34 30  *  -
000010858 - 0x90334414 61 ac ed 12 57 8d 01 41  *  -
000010860 - 0x90334436 81 10 c4 09 0d 00 00 00  *  -
000010861 - 0x90334177 00 7d 00 64 00 64 00 00  *  -
000010863 - 0x90334489 b8 88 00 00 4f 34 00 00  *  -
000010865 - 0x9023417a 02 70 99 14 00 5b 56 0a  *  -
000010867 - 0x9033445c 95 0e a9 0e 98 bd 00 00  *  -
000010868 - 0x90334425 00 00 a2 0f 00 00 00 00  *  -
000010870 - 0x9033417d 01 0a a2 0f 00 00 00 00  *  -
000010878 - 0x9033417e 01 0a a2 0f 00 00 00 00  *  -
000010882 - 0x903344af 00 00 a7 fd 00 00 88 00  *  -
000010884 - 0x90234171 02 70 99 14 00 28 61 0a  *  -
000010885 - 0x90134172 00 70 99 14 00 28 61 0a  *  -
000010887 - 0x90334174 01 0a 99 14 00 28 61 0a  *  -
000010889 - 0x90334480 b8 88 00 00 88 34 00 00  *  -
000010894 - 0x90334175 01 0a 00 00 88 34 00 00  *  -
000010902 - 0x90334176 01 0a 00 00 88 34 00 00  *  -
000010903 - 0x90334487 b8 88 00 00 c4 34 00 00  *  -
000010905 - 0x90134179 00 88 00 00 c4 34 00 00  *  -
000010906 - 0x9033445a 95 0e a9 0e b8 bd 00 00  *  -
000010908 - 0x90234178 02 70 99 14 00 88 6c 0a  *  -
000010922 - 0x9033448b b8 88 00 00 a6 34 00 00  *  -
000010923 - 0x9023417c 02 70 99 14 00 f1 6b 0a  *  -
000010925 - 0x9033445e 95 0e a9 0e a4 bd 00 00  *  -
000010926 - 0x9013417d 00 0e a9 0e a4 bd 00 00  *  -
000010942 - 0x9033448f b8 88 00 00 e2 34 00 00  *  -
000010943 - 0x90234170 02 70 99 14 00 51 77 0a  *  -
000010945 - 0x90334452 95 0e a9 0e bd bd 00 00  *  -
000010946 - 0x90134171 00 0e a9 0e bd bd 00 00  *  -
000010958 - 0x903434b2 00 00 00 00 00 00 00 00  *  -
000010962 - 0x90334483 b8 88 00 00 1b 35 00 00  *  -
000010963 - 0x90234174 02 70 99 14 00 1f 82 0a  *  -
000010965 - 0x90334456 95 0e a9 0e bd bd 00 00  *  -
000010967 - 0x90134175 00 0e a9 0e bd bd 00 00  *  -
000010981 - 0x903344a7 00 00 43 fd 00 00 ec 00  *  -
000010983 - 0x90334488 b8 88 00 00 20 35 00 00  *  -
000010984 - 0x9013417a 00 88 00 00 20 35 00 00  *  -
000010986 - 0x9033445b 95 0e a9 0e bd bd 00 00  *  -
000010987 - 0x90234179 02 70 99 14 00 88 84 0a  *  -
000011002 - 0x9033448c b8 88 00 00 1e 35 00 00  *  -
000011003 - 0x9023417d 02 70 99 14 00 3c 84 0a  *  -
000011004 - 0x9033445f 91 0e a9 0e e9 bd 00 00  *  -
000011006 - 0x9013417e 00 0e a9 0e e9 bd 00 00  *  -
000011022 - 0x90334480 b8 88 00 00 e2 34 00 00  *  -
000011023 - 0x90134172 00 88 00 00 e2 34 00 00  *  -
000011025 - 0x90334453 91 0e a9 0e e4 bd 00 00  *  -
000011026 - 0x90234171 02 70 99 14 00 d8 78 0a  *  -
000011035 - 0x90334475 ce ff ff ff 87 fe ff ff  *  -
000011036 - 0x90334496 b6 07 31 0b 45 00 05 00  *  -
000011042 - 0x90334487 b8 88 00 00 dc 34 00 00  *  -
000011043 - 0x90134179 00 88 00 00 dc 34 00 00  *  -
000011045 - 0x9033445a 91 0e a9 0e ea bd 00 00  *  -
000011046 - 0x90234178 02 70 99 14 00 b4 77 0a  *  -
000011058 - 0x903434b3 00 00 00 00 00 00 00 00  *  -
000011061 - 0x9033448b b8 88 00 00 18 35 00 00  *  -
000011063 - 0x9023417c 02 70 99 14 00 18 83 0a  *  -
000011065 - 0x9033445e 91 0e a9 0e ea bd 00 00  *  -
000011066 - 0x9013417d 00 0e a9 0e ea bd 00 00  *  -
000011081 - 0x903344af 00 00 df fc 00 00 56 00  *  -
000011083 - 0x90334480 b8 88 00 00 57 35 00 00  *  -
000011084 - 0x90134172 00 88 00 00 57 35 00 00  *  -
000011086 - 0x90334453 91 0e a9 0e ea bd 00 00  *  -
000011087 - 0x90234171 02 70 99 14 00 0e 8f 0a  *  -
000011101 - 0x90334484 b8 88 00 00 90 35 00 00  *  -
000011103 - 0x90234175 02 70 99 14 00 e0 99 0a  *  -
000011104 - 0x90334457 91 0e a9 0e e9 bd 00 00  *  -
000011106 - 0x90134176 00 0e a9 0e e9 bd 00 00  *  -
000011121 - 0x90334488 b8 88 00 00 cf 35 00 00  *  -
000011123 - 0x90234179 02 70 99 14 00 d6 a5 0a  *  -
000011124 - 0x9033445b 91 0e a9 0e ea bd 00 00  *  -
000011126 - 0x9013417a 00 0e a9 0e ea bd 00 00  *  -
000011141 - 0x9033448c b8 88 00 00 08 36 00 00  *  -
000011143 - 0x9023417d 02 70 99 14 00 a8 b0 0a  *  -
000011144 - 0x9033445f 91 0e a9 0e ea bd 00 00  *  -
000011146 - 0x9013417e 00 0e a9 0e ea bd 00 00  *  -
000011159 - 0x903434b5 00 00 00 00 00 00 00 00  *  -
000011161 - 0x90334480 b8 88 00 00 44 36 00 00  *  -
000011162 - 0x90234171 02 70 99 14 00 0c bc 0a  *  -
000011165 - 0x90134172 00 0e a9 0e ea bd 00 00  *  -
000011181 - 0x903344a4 00 00 7b fc 00 00 ba 00  *  -
000011183 - 0x90334485 b8 88 00 00 83 36 00 00  *  -
000011184 - 0x90134177 00 88 00 00 83 36 00 00  *  -
000011185 - 0x90334458 91 0e a9 0e e5 bd 00 00  *  -
000011187 - 0x90234176 02 70 99 14 00 02 c8 0a  *  -
000011201 - 0x90334489 b8 88 00 00 bf 36 00 00  *  -
